descripcion_limpia,categoria
Psicologo,Salud
supermercado,Alimentacion
Telefonía móvil,Servicios
Botanas,Alimentacion
Paseo,Ocio
cablebus,Transporte
Pago Telcel,Servicios
Pago gas natural,Servicios
Pintura casa,Vivienda
Urgencias médicas,Salud
Antibióticos,Salud
Crédito hipotecario,Vivienda
renta,Vivienda
Museo,Ocio
vegetales,Alimentacion
Tanque gas,Servicios
Material didactico,Educación
Despensa,Alimentacion
Seguro médico,Salud
Analgésico,Salud
MEDICO,Salud
Videojuego,Ocio
Té y galletas,Alimentacion
Medicamento,Salud
Recarga de gas,Servicios
Consola videojuego,Ocio
Laboratorio médico,Salud
Limpieza del hogar,Vivienda
Vestido,Ocio
Recibo de gas,Servicios
Libro escolar,Educación
Recarga tarjeta transporte,Transporte
Mensualidad escuela,Educación
panaderia,Alimentacion
Plomeria,Vivienda
Collar,Ocio
Clases idiomas,Educación
Compra en mercado,Alimentacion
Uber eats,Alimentacion
Estudio medico,Salud
walmart,Alimentacion
Paramount,Ocio
Viaje Didi,Transporte
Curso de internet,Educación
PERFUME,Ocio
Hamburguesa,Alimentacion
Clases de inglés,Educación
Combustible,Transporte
Muebles para sala,Vivienda
Desayuno,Alimentacion
Uber,Transporte
Taller de idiomas,Educación
Electrodoméstico,Vivienda
Credito hipotecario,Vivienda
Muebles,Vivienda
Curso ingles,Educación
Servicio de agua,Servicios
Recarga tarjeta transporte,Transporte
Tienda de abarrotes,Alimentacion
Medicina,Salud
Carga gas LP,Servicios
ciclismo,Ocio
curso,Educación
Artículos limpieza,Vivienda
renta,Vivienda
Muebles,Vivienda
Recibo gas,Servicios
GAS LP,Servicios
supermercado,Alimentacion
Consulta medica,Salud
Compra en supermercado,Alimentacion
Estudio médico,Salud
UBER,Transporte
Viaje Uber,Transporte
pemex,Transporte
Pago colegiatura,Educación
Servicio cable,Servicios
Plomería,Vivienda
MEDICINA,Salud
Gimnasio,Servicios
walmart,Alimentacion
Artículos limpieza,Vivienda
Pago de hipoteca,Vivienda
pintura,Vivienda
Material ferreteria,Vivienda
Servicio gas,Servicios
Collar,Ocio
Cablebus CDMX,Transporte
Carga Gas LP,Servicios
Matcha latte,Alimentacion
Vestido,Ocio
Mensualidad renta,Vivienda
Videojuego,Ocio
Francés,Educación
Cita médica,Salud
Diplomado profesional,Educación
medicina,Salud
Estudio medico,Salud
Cuota de mantenimiento,Vivienda
Fotografia,Ocio
Pago caseta,Transporte
Despensa,Alimentacion
Pago escuela,Educación
Servicio Uber,Transporte
Limpieza casa,Servicios
Uber viaje,Transporte
Visita guiada,Ocio
Pedido de comida,Alimentacion
Odontólogo,Salud
Pago de Agua,Servicios
escuela,Educación
Yogur,Alimentacion
Material educativo,Educación
Tren suburbano,Transporte
suscripcion netflix,Ocio
Terapia fisica,Salud
Pastillas,Salud
verdura,Alimentacion
Pago hipoteca,Vivienda
Reloj,Ocio
Útiles escuela,Educación
Boleto de autobús,Transporte
Mantenimiento casa,Vivienda
Gasolinera,Transporte
Pago cable,Servicios
farmacia,Salud
Seguro casa,Vivienda
Mensualidad hipoteca,Vivienda
Tarjeta movilidad,Transporte
Cafeteria local,Alimentacion
surf,Ocio
Matcha latte,Alimentacion
Farmacias Guadalajara,Salud
Dentista,Salud
Pasaje tren,Transporte
Pastilla,Salud
Curso ingles,Educación
Mensualidad Netflix,Ocio
Curso virtual,Educación
Ferretería,Vivienda
Cómic,Ocio
Pago telefonia,Servicios
Museo,Ocio
Artículos para hogar,Vivienda
Pago escuela,Educación
Spa,Ocio
Pago inscripcion,Educación
Pago cable,Servicios
Electrodomestico,Vivienda
Odontologo,Salud
Autobús,Transporte
Compra ropa,Ocio
Mensualidad Netflix,Ocio
Pago limpieza,Servicios
Pasaje urbano,Transporte
Clases de matemáticas,Educación
Decoracion casa,Vivienda
Limpieza casa,Servicios
Tren Suburbano,Transporte
Pintura casa,Vivienda
Carnicería,Alimentacion
Decoracion del hogar,Vivienda
uber,Transporte
MEDICINA,Salud
Gasolina premium,Transporte
Boliche,Ocio
Boleto teatro,Ocio
Odontólogo,Salud
Juego,Ocio
Compra útiles escolares,Educación
taxi sitio,Transporte
Pago de internet,Servicios
NETFLIX,Ocio
Mercado,Alimentacion
Consulta doctor,Salud
Antibiotico,Salud
tortillas,Alimentacion
Paramount+,Ocio
Carga gasolina,Transporte
Consulta con doctor,Salud
Pago de internet,Servicios
Comision Federal de Electricidad,Servicios
Consulta dental,Salud
Artículos de limpieza,Vivienda
cartera,Ocio
Libro de texto,Educación
netflix,Ocio
Terapia física,Salud
Clases de matematicas,Educación
Mensualidad universidad,Educación
Pago seguro medico,Salud
Libros escolares,Educación
cfe,Servicios
Comida en restaurante,Alimentacion
mantenimiento edificio,Vivienda
Reparación tubería,Vivienda
Hipoteca,Vivienda
Bolsa,Ocio
Compra en mercado,Alimentacion
Boleto evento,Ocio
Festival,Ocio
TIANGUIS,Alimentacion
doctor,Salud
Comida rápida,Alimentacion
Pago gas,Servicios
Medico,Salud
Fibra óptica,Servicios
Artículos de limpieza,Vivienda
Matcha latte,Alimentacion
Kit de ducha,Ocio
Farmacia Guadalajara,Salud
Pago de gimnasio,Servicios
Curso ingles,Educación
comida,Alimentacion
Pago de hipoteca,Vivienda
Pago telefonía,Servicios
Medicinas,Salud
SACMEX,Servicios
UberEats,Alimentacion
Tortillas,Alimentacion
Consulta nutricional,Salud
Tanque gas,Servicios
FERRETERIA,Vivienda
Libros escolares,Educación
Pintura para casa,Vivienda
Estacionamiento vehículo,Transporte
limpieza,Servicios
Crema corporal,Ocio
Cafetería,Alimentacion
Analgésico,Salud
recarga telcel,Servicios
Tutorias,Educación
Compra en tianguis,Alimentacion
Examen laboratorio,Salud
streaming,Ocio
Consulta dental,Salud
Adornos hogar,Vivienda
cafe,Alimentacion
Transporte por aplicación,Transporte
Gasolinera PEMEX,Transporte
Streaming,Servicios
Viaje transporte,Transporte
Material didactico,Educación
Pago inscripción,Educación
Desayuno,Alimentacion
medico,Salud
Matcha latte,Alimentacion
Certificación profesional,Educación
Fragancia,Ocio
comida rapida,Alimentacion
Conferencia académica,Educación
Pintura,Vivienda
Tour por ciudad,Ocio
Superercado,Alimentacion
Receta médica,Salud
Servicio celular,Servicios
Curso en línea,Educación
Senderismo,Ocio
Plan de internet,Servicios
Herramientas hogar,Vivienda
Articulos para hogar,Vivienda
Pago de escuela,Educación
Urgencias medicas,Salud
Farmacias Guadalajara,Salud
Metró,Transporte
Artículos para hogar,Vivienda
Pasaje de autobus,Transporte
paramount,Ocio
Combustible,Transporte
Recarga Metro,Transporte
Refrescos,Alimentacion
Cablebus CDMX,Transporte
Urgencias medicas,Salud
Compra útiles escolares,Educación
Articulos para hogar,Vivienda
Clases privadas,Educación
Credito hipotecario,Vivienda
Vestido,Ocio
doctor,Salud
Suscripción Paramount,Ocio
Pago de hipoteca,Vivienda
Estacionamiento vehiculo,Transporte
Lentes para sol,Ocio
TAXI,Transporte
Pasatiempo,Ocio
MEDICINA,Salud
Pintura casa,Vivienda
Recibo gas,Servicios
Servicio telefonico,Servicios
RECIBO CFE,Servicios
Despensa quincenal,Alimentacion
Mantenimiento hogar,Vivienda
Recibo de luz,Servicios
paramount,Ocio
DiDi,Transporte
examen medico,Salud
TIANGUIS,Alimentacion
Seguro de vivienda,Vivienda
Gasolina Premium,Transporte
Pollo,Alimentacion
Inscripción escuela,Educación
Compra combustible,Transporte
Pintura,Vivienda
Pago de luz,Servicios
surf,Ocio
Congreso academico,Educación
Recibo de agua,Servicios
Abarrotes tienda,Alimentacion
cablebus,Transporte
Antibióticos,Salud
Servicio medico,Salud
taxi sitio,Transporte
Festival,Ocio
Uber,Transporte
pantalon,Ocio
Recarga tarjeta metro,Transporte
Pago gas,Servicios
Telcel,Servicios
Boleto cablebus,Transporte
Pintura casa,Vivienda
Medicina,Salud
Servicio de internet,Servicios
Pescado,Alimentacion
Mensualidad del gimnasio,Servicios
verdura,Alimentacion
walmart,Alimentacion
ropa,Ocio
doctor,Salud
Compra ferreteria,Vivienda
Tanque de gasolina,Transporte
Boleto cablebus,Transporte
Sombrero,Ocio
Material didáctico,Educación
Gasolinera,Transporte
Recarga de gas,Servicios
Electrodomesticos,Vivienda
pastillas,Salud
Comisión Federal de Electricidad,Servicios
HIPOTECA,Vivienda
Articulos de limpieza,Vivienda
Credito hipotecario,Vivienda
Tren suburbano,Transporte
Superercado,Alimentacion
Certificacion,Educación
Boleto tren,Transporte
Novela,Ocio
Servicio de cable,Servicios
Cita medica,Salud
MEDICINA,Salud
Recarga tarjeta transporte,Transporte
Útiles escuela,Educación
Muebles sala,Vivienda
Compra pintura,Vivienda
Pastillas,Salud
Servicio de mantenimiento,Servicios
Estudios de laboratorio,Salud
Entrada teatro,Ocio
Pasaje tren,Transporte
Servicio de plomeria,Vivienda
Cablebus,Transporte
Material escolar,Educación
Libros de texto,Educación
paramount,Ocio
Pago de television por cable,Servicios
Pago de internet,Servicios
dentista,Salud
taxi,Transporte
joyeria,Ocio
gorra,Ocio
Mensualidad universidad,Educación
Telcel,Servicios
Lácteos,Alimentacion
Pago de servicio,Servicios
Taxi de Sitio,Transporte
DIDI,Transporte
Plomeria,Vivienda
CFE pago,Servicios
Servicio de cable,Servicios
Alquiler vivienda,Vivienda
PERFUME,Ocio
MEDICINA,Salud
Abono hipoteca ,Vivienda
Articulos limpieza,Vivienda
Clase particular,Educación
cafe,Alimentacion
FERRETERIA,Vivienda
laboratorio,Salud
Mensualidad universidad,Educación
ciclismo,Ocio
Transporte publico,Transporte
Certificación profesional,Educación
Gas LP,Servicios
Servicio de internet,Servicios
Pago de escuela,Educación
Parque diversiones,Ocio
playera,Ocio
DIDI,Transporte
Pago de celular,Servicios
Galletas,Alimentacion
Servicio Didi,Transporte
Artículos limpieza,Vivienda
supermercadoDESPENSA,Alimentacion
Reparación electrodoméstico,Vivienda
Fibra óptica,Servicios
renta,Vivienda
Boleto de autobús,Transporte
Pescado,Alimentacion
Fotografía,Ocio
Hospitalización,Salud
Servicio spa,Ocio
Servicio de internet,Servicios
Agua potable,Servicios
Festival,Ocio
transporte publico,Transporte
Servicio gasolinera,Transporte
Recarga tarjeta transporte,Transporte
Rappi comida,Alimentacion
Tren Suburbano,Transporte
Pago de luz,Servicios
Reparación electrodoméstico,Vivienda
Inscripcion curso,Educación
GAS LP,Servicios
WALMART,Alimentacion
Falda,Ocio
FERRETERIA,Vivienda
Servicios de reparación hogar,Vivienda
Decoración del hogar,Vivienda
Reparacion tuberia,Vivienda
Material de estudio,Educación
Laboratorio medico,Salud
tren suburbano,Transporte
metro,Transporte
Inscripción curso,Educación
Inscripción escolar,Educación
Despensa,Alimentacion
Compra libro escolar,Educación
Pago mensualidad escolar,Educación
cablebus,Transporte
Pastilla,Salud
Curso idiomas,Educación
Antibióticos,Salud
Clases particulares,Educación
Recibo CFE,Servicios
Compra electrodomestico,Vivienda
SACMEX,Servicios
Suscripcion Netflix,Ocio
Inscripcion escolar,Educación
Productos de limpieza,Vivienda
Suscripción de streaming,Servicios
Pago de gimnasio,Servicios
crema,Ocio
Alquiler,Vivienda
Compra de alimentos,Alimentacion
Servicios de reparación hogar,Vivienda
Didi food,Alimentacion
curso en linea,Educación
GASOLINA,Transporte
Gas Natural,Servicios
Transporte urbano,Transporte
Accesorios,Ocio
Jeans,Ocio
Ferretería,Vivienda
Boleto de autobús,Transporte
Clases de matemáticas,Educación
Analgésico,Salud
Hospital,Salud
gasolina,Transporte
Cuota mantenimiento,Vivienda
didi,Transporte
Medicamentos,Salud
Farmacia Guadalajara,Salud
Reparación plomería,Vivienda
Estacionamiento,Transporte
Juego,Ocio
Pago limpieza,Servicios
Te,Alimentacion
Medico,Salud
Ingles,Educación
Boletos cine,Ocio
Didi food,Alimentacion
Pago luz,Servicios
Pago telefonia,Servicios
Camion,Transporte
Servicio caldera,Servicios
Pintura para casa,Vivienda
fruta,Alimentacion
Pintura,Vivienda
Matcha latte,Alimentacion
Estudio médico,Salud
Despensa quincenal,Alimentacion
Abono hipoteca ,Vivienda
Servicio de mantenimiento,Servicios
Farmacia Guadalajara,Salud
Inscripción universidad,Educación
Pastilla,Salud
gas lp,Servicios
Material ferreteria,Vivienda
Compra de despensa,Alimentacion
Recarga tarjeta metro,Transporte
comida rapida,Alimentacion
spa,Ocio
Farmacia Similares,Salud
Utensilios cocina,Vivienda
Servicio telefonico,Servicios
recibo de luz,Servicios
Alquiler vivienda,Vivienda
ciclismo,Ocio
Streaming,Ocio
Terapia física,Salud
despensa,Alimentacion
Mercado,Alimentacion
Television por cable,Servicios
Compra muebles,Vivienda
Hospitalización,Salud
Utiles escuela,Educación
Farmacias Guadalajara,Salud
Certificación,Educación
Urgencias medicas,Salud
recibo de luz,Servicios
Doctor,Salud
internet,Servicios
Seguro médico,Salud
Cafeteria,Alimentacion
hipoteca,Vivienda
Examen certificacion,Educación
Pago de luz,Servicios
Transporte urbano,Transporte
Tacos restaurante,Alimentacion
Cuota de mantenimiento,Vivienda
Ropa,Ocio
Clases de matemáticas,Educación
Mueble para sala,Vivienda
Pizza,Alimentacion
Servicio de limpieza,Servicios
MEDICINA,Salud
Juegos,Ocio
Pago television por cable,Servicios
autobus,Transporte
Servicio de mantenimiento,Servicios
Pago mensualidad escolar,Educación
Ferretería,Vivienda
supermercado,Alimentacion
Botanas,Alimentacion
farmacia,Salud
Adornos para casa,Vivienda
Té y galletas,Alimentacion
Caseta,Transporte
pago agua,Servicios
restaurante,Alimentacion
Telefonía celular,Servicios
Gasolina,Transporte
Inscripción curso,Educación
Viaje en taxi,Transporte
Huevos,Alimentacion
Ingles,Educación
Peaje,Transporte
Hospitalizacion,Salud
pastilla,Salud
doctor,Salud
COLEGIATURA,Educación
Pago limpieza,Servicios
Verduras,Alimentacion
restaurante,Alimentacion
COLEGIATURA,Educación
Curso de internet,Educación
ESCUELA,Educación
Consulta nutricional,Salud
Cafe,Alimentacion
Productos limpieza,Vivienda
recibo CFE,Servicios
Visita turística,Ocio
Yogur,Alimentacion
Análisis Laboratorio,Salud
Ingles,Educación
Taxi Didi,Transporte
CURSO,Educación
Escuela,Educación
Boleto autobus,Transporte
Compra ferreteria,Vivienda
Reparacion electrodomestico,Vivienda
Tortillería,Alimentacion
Boleto evento,Ocio
Pago Netflix,Ocio
Pago telefonia,Servicios
Autopista,Transporte
Curso en línea,Educación
Hipoteca,Vivienda
Recibo CFE,Servicios
Lacteos,Alimentacion
Nutriologo,Salud
Pago telefonia,Servicios
Material didactico,Educación
Cita médica,Salud
Taxi,Transporte
Examen certificación,Educación
Compra útiles escolares,Educación
Comida para llevar,Alimentacion
Escuela,Educación
Recibo CFE,Servicios
pintura,Vivienda
Pago caseta,Transporte
Frutas y verduras,Alimentacion
Karaoke,Ocio
Gasolina,Transporte
Colegiatura,Educación
hipoteca,Vivienda
Medicina,Salud
Laboratorio,Salud
Pasaje de autobus,Transporte
Ferreteria,Vivienda
Compra de ropa,Ocio
Clases de idiomas,Educación
Tour ciudad,Ocio
pastillas,Salud
Material escolar,Educación
Consulta doctor,Salud
Taxi,Transporte
pastillas,Salud
Compra muebles,Vivienda
Curso idiomas,Educación
Utiles escuela,Educación
Servicio cable,Servicios
Electrodomesticos,Vivienda
Pago gimnasio,Servicios
Carga gasolina,Transporte
certificacion,Educación
Conferencia académica,Educación
Inscripción universidad,Educación
Recarga gas,Servicios
Material de estudio,Educación
Té,Alimentacion
Alquiler vivienda,Vivienda
Teatro,Ocio
Gas LP,Servicios
Recarga de gas,Servicios
Pago universidad,Educación
Cuota autopista,Transporte
Inscripción universidad,Educación
Compra electrodomestico,Vivienda
Carga Gas LP,Servicios
Consulta nutricional,Salud
Gasolina Premium,Transporte
Utiles escuela,Educación
Jugo,Alimentacion
Supermercado,Alimentacion
Cablebus CDMX,Transporte
alimentos,Alimentacion
Taxi,Transporte
Decoración casa,Vivienda
paramount,Ocio
PREMIUM,Transporte
MEDICINA,Salud
restaurante,Alimentacion
Alquiler,Vivienda
Urgencias médicas,Salud
Tanque gasolina,Transporte
DIDI,Transporte
Pago cable,Servicios
Botanas,Alimentacion
Suscripción Disney,Ocio
Seguro de vivienda,Vivienda
Tacos restaurante,Alimentacion
Conferencia academica,Educación
Consulta medica,Salud
Pasaje de autobus,Transporte
Pasaje urbano,Transporte
Tanque gasolina,Transporte
Servicio de limpieza,Servicios
Telefonía celular,Servicios
Pago Netflix,Ocio
Comic,Ocio
Analisis de laboratorio,Salud
Cablebus,Transporte
gasolina,Transporte
SACMEX,Servicios
Zapatos,Ocio
Compra despensa,Alimentacion
Metró,Transporte
Pago de colegiatura,Educación
Carga gas LP,Servicios
Compra medicamentos,Salud
Queso,Alimentacion
Cafeteria,Alimentacion
COLEGIATURA,Educación
Libro de texto,Educación
Pago inscripción,Educación
Pasaje de autobus,Transporte
Clases de matemáticas,Educación
Uber viaje,Transporte
transporte publico,Transporte
spa,Ocio
Pago de celular,Servicios
Cafeteria,Alimentacion
Compra videojuego,Ocio
Tienda de abarrotes,Alimentacion
Material educativo,Educación
Pollo,Alimentacion
Botanas,Alimentacion
Carnicería,Alimentacion
Servicio cable,Servicios
Compra de despensa,Alimentacion
Frutas y verduras,Alimentacion
Mensualidad Netflix,Ocio
Tarjeta Metro,Transporte
concierto,Ocio
metro,Transporte
Comida en restaurante,Alimentacion
Senderismo,Ocio
Laboratorio médico,Salud
Carga gasolina,Transporte
Pasaje tren,Transporte
walmart,Alimentacion
Tianguis,Alimentacion
Clases de idiomas,Educación
Consulta dental,Salud
Senderismo,Ocio
Internet,Servicios
Pago inscripción,Educación
colegiatura,Educación
Medicinas,Salud
Taxi de Sitio,Transporte
MAGNA,Transporte
Pago cable,Servicios
antibiotico,Salud
Abarrotes,Alimentacion
Pasaje de autobus,Transporte
limpieza,Servicios
PREMIUM,Transporte
Pago celular mensual,Servicios
Comida rapida restaurante,Alimentacion
Muebles para sala,Vivienda
Compra libro escolar,Educación
Refrescos,Alimentacion
Boleto parque,Ocio
MEDICINA,Salud
Abono hipoteca ,Vivienda
Tanque de gas,Servicios
Pago de television por cable,Servicios
tortilleria,Alimentacion
Didi food,Alimentacion
Festival musica,Ocio
Netflix,Ocio
Abarrotes,Alimentacion
Falda,Ocio
Pasaje urbano,Transporte
servicio streaming,Servicios
Conferencia academica,Educación
Laboratorio medico,Salud
Material ferreteria,Vivienda
Terapia fisica,Salud
Servicio telefonico,Servicios
Evento,Ocio
Articulos limpieza,Vivienda
Telefonía celular,Servicios
Cafe,Alimentacion
Tutor,Educación
Útiles escuela,Educación
camiseta,Ocio
Plan de internet,Servicios
Compra limpieza hogar,Vivienda
Pago telefonía,Servicios
Uber eats,Alimentacion
Tour turístico,Ocio
Viaje transporte,Transporte
Gasolina premium,Transporte
Medicamento farmacia,Salud
Material de estudio,Educación
gas natural,Servicios
Tortillas,Alimentacion
Pago inscripción,Educación
Suscripcion Disney,Ocio
Pedido de comida,Alimentacion
medicamento,Salud
Uber viaje,Transporte
Compra de ropa,Ocio
Medicina,Salud
Jeans,Ocio
Visita turistica,Ocio
Streaming,Ocio
Te,Alimentacion
Yogur,Alimentacion
Té y galletas,Alimentacion
Compra utiles escolares,Educación
Transporte urbano,Transporte
Analgésico,Salud
Internet hogar,Servicios
Boleto tren,Transporte
paramount,Ocio
HIPOTECA,Vivienda
Examen certificación,Educación
Material didáctico,Educación
Parque de diversiones,Ocio
NETFLIX,Ocio
Pago electricidad,Servicios
Pago mensualidad escolar,Educación
Superercado,Alimentacion
Libros escolares,Educación
Alquiler,Vivienda
Telefonia celular,Servicios
Hospitalización,Salud
Pescado,Alimentacion
Walmart,Alimentacion
Farmacia Guadalajara,Salud
Consulta doctor,Salud
medicamento,Salud
netflix,Ocio
Mantenimiento de caldera,Servicios
Decoración hogar,Vivienda
Servicio de plomería,Vivienda
Matcha,Alimentacion
Estudios de laboratorio,Salud
Accesorios,Ocio
Farmacia del Ahorro,Salud
Hamburguesa,Alimentacion
Pago de luz,Servicios
Servicio limpieza hogar,Servicios
Examen laboratorio,Salud
Compra medicamentos,Salud
Analisis Laboratorio,Salud
natacion,Ocio
Viaje Didi,Transporte
Mensualidad universidad,Educación
Inscripcion escuela,Educación
Ingles,Educación
Recibo de servicio,Servicios
Metro,Transporte
Matcha,Alimentacion
Fibra óptica,Servicios
Compra medicamentos,Salud
Transporte público,Transporte
Compra medicamentos,Salud
Gas Natural,Servicios
Tienda de abarrotes,Alimentacion
Almuerzo,Alimentacion
Compra medicamento,Salud
Pago SACMEX,Servicios
Accesorios de moda,Ocio
