id_usuario,edad,sexo,escolaridad,servicio_salud,tipo_empleo,ingreso_mensual,nivel_endeudamiento,frecuencia_ahorro,descripcion_transaccion,valor_transaccion,categoria_gasto,perfil_usuario
12,56,H,Media Superior,ISSEMYN,Informal,3509.56,60,Media,Abarrotes local,330.43,Alimentacion,En riesgo
12,56,H,Media Superior,ISSEMYN,Informal,3509.56,60,Media,Mantenimiento hogar,877.39,Vivienda,En riesgo
12,56,H,Media Superior,ISSEMYN,Informal,3509.56,60,Media,Recibo CFE,242.23,Servicios,En riesgo
12,56,H,Media Superior,ISSEMYN,Informal,3509.56,60,Media,Taxi de sitio,248.45,Transporte,En riesgo
13,56,H,Media Superior,ISSEMYN,Formal,6832.36,20,Media,Abarrotes local,611.19,Alimentacion,Finanzas sanas
13,56,H,Media Superior,ISSEMYN,Formal,6832.36,20,Media,Abono Hipoteca,1708.09,Vivienda,Finanzas sanas
13,56,H,Media Superior,ISSEMYN,Formal,6832.36,20,Media,Recarga Telcel,180.18,Servicios,Finanzas sanas
13,56,H,Media Superior,ISSEMYN,Formal,6832.36,20,Media,Cervezas fin de semana,302.9,Ocio,Finanzas sanas
14,43,H,Sin estudios,Privado,Informal,3600.76,68,Baja,Despensa Walmart,378.45,Alimentacion,En riesgo
14,43,H,Sin estudios,Privado,Informal,3600.76,68,Baja,Abono Hipoteca,900.19,Vivienda,En riesgo
14,43,H,Sin estudios,Privado,Informal,3600.76,68,Baja,Recibo CFE,442.66,Servicios,En riesgo
14,43,H,Sin estudios,Privado,Informal,3600.76,68,Baja,Consulta medica,180.75,Salud,En riesgo
15,30,M,Basica,Ninguno,Formal,10426.52,21,Alta,Tortilleria,864.1,Alimentacion,Finanzas sanas
15,30,M,Basica,Ninguno,Formal,10426.52,21,Alta,Mantenimiento hogar,2606.63,Vivienda,Finanzas sanas
15,30,M,Basica,Ninguno,Formal,10426.52,21,Alta,Pago de Agua,285.48,Servicios,Finanzas sanas
15,30,M,Basica,Ninguno,Formal,10426.52,21,Alta,Pago Elektra,1094.78,Otros,Finanzas sanas
16,70,H,Media Superior,IMSS,Formal,10239.93,21,Alta,Tortilleria,921.27,Alimentacion,Finanzas sanas
16,70,H,Media Superior,IMSS,Formal,10239.93,21,Alta,Mantenimiento hogar,2559.98,Vivienda,Finanzas sanas
16,70,H,Media Superior,IMSS,Formal,10239.93,21,Alta,Recarga Telcel,222.85,Servicios,Finanzas sanas
16,70,H,Media Superior,IMSS,Formal,10239.93,21,Alta,Farmacia Similares,275.44,Salud,Finanzas sanas
17,53,H,Media Superior,Privado,Formal,8051.6,35,Media,Despensa Walmart,765.92,Alimentacion,En observacion
17,53,H,Media Superior,Privado,Formal,8051.6,35,Media,Mantenimiento hogar,2012.9,Vivienda,En observacion
17,53,H,Media Superior,Privado,Formal,8051.6,35,Media,Recibo CFE,307.75,Servicios,En observacion
17,53,H,Media Superior,Privado,Formal,8051.6,35,Media,Farmacia Similares,384.12,Salud,En observacion
18,63,H,Media Superior,ISSSTE,Informal,3663.15,75,Baja,Despensa Walmart,382.66,Alimentacion,En riesgo
18,63,H,Media Superior,ISSSTE,Informal,3663.15,75,Baja,Abono Hipoteca,915.79,Vivienda,En riesgo
18,63,H,Media Superior,ISSSTE,Informal,3663.15,75,Baja,Recibo CFE,136.09,Servicios,En riesgo
18,63,H,Media Superior,ISSSTE,Informal,3663.15,75,Baja,Consulta medica,189.08,Salud,En riesgo
19,26,H,Basica,ISSSTE,Formal,6100.94,55,Baja,Tortilleria,672.2,Alimentacion,En riesgo
19,26,H,Basica,ISSSTE,Formal,6100.94,55,Baja,Abono Hipoteca,1525.23,Vivienda,En riesgo
19,26,H,Basica,ISSSTE,Formal,6100.94,55,Baja,Recarga Telcel,143.69,Servicios,En riesgo
19,26,H,Basica,ISSSTE,Formal,6100.94,55,Baja,Pago Elektra,1677.76,Otros,En riesgo
20,72,M,Media Superior,Privado,Autoempleo,5896.2,48,Baja,Tortilleria,520.44,Alimentacion,En riesgo
20,72,M,Media Superior,Privado,Autoempleo,5896.2,48,Baja,Pago de Renta,1474.05,Vivienda,En riesgo
20,72,M,Media Superior,Privado,Autoempleo,5896.2,48,Baja,Carga Gas LP,162.51,Servicios,En riesgo
20,72,M,Media Superior,Privado,Autoempleo,5896.2,48,Baja,Consulta medica,160.21,Salud,En riesgo
21,73,H,Media Superior,Privado,Autoempleo,5937.09,28,Media,Tianguis semanal,587.92,Alimentacion,Finanzas sanas
21,73,H,Media Superior,Privado,Autoempleo,5937.09,28,Media,Pago de Renta,1484.27,Vivienda,Finanzas sanas
21,73,H,Media Superior,Privado,Autoempleo,5937.09,28,Media,Pago de Agua,377.64,Servicios,Finanzas sanas
21,73,H,Media Superior,Privado,Autoempleo,5937.09,28,Media,Abono Coppel,831.19,Otros,Finanzas sanas
22,71,H,Basica,ISSSTE,Formal,7904.68,37,Media,Abarrotes local,731.63,Alimentacion,En observacion
22,71,H,Basica,ISSSTE,Formal,7904.68,37,Media,Pago de Renta,1976.17,Vivienda,En observacion
22,71,H,Basica,ISSSTE,Formal,7904.68,37,Media,Carga Gas LP,135.86,Servicios,En observacion
22,71,H,Basica,ISSSTE,Formal,7904.68,37,Media,Taxi de sitio,417.01,Transporte,En observacion
23,75,M,Media Superior,Ninguno,Formal,9111.85,41,Media,Abarrotes local,910.48,Alimentacion,En riesgo
23,75,M,Media Superior,Ninguno,Formal,9111.85,41,Media,Pago de Renta,2277.96,Vivienda,En riesgo
23,75,M,Media Superior,Ninguno,Formal,9111.85,41,Media,Carga Gas LP,163.24,Servicios,En riesgo
23,75,M,Media Superior,Ninguno,Formal,9111.85,41,Media,Cine,371.04,Ocio,En riesgo
24,58,H,Basica,ISSSTE,Formal,8975.6,44,Baja,Tortilleria,866.8,Alimentacion,En riesgo
24,58,H,Basica,ISSSTE,Formal,8975.6,44,Baja,Abono Hipoteca,2243.9,Vivienda,En riesgo
24,58,H,Basica,ISSSTE,Formal,8975.6,44,Baja,Pago de Agua,294.58,Servicios,En riesgo
24,58,H,Basica,ISSSTE,Formal,8975.6,44,Baja,Suscripcion Netflix,190.07,Ocio,En riesgo
25,37,M,Basica,ISSEMYN,Informal,3567.46,52,Baja,Tianguis semanal,392.44,Alimentacion,En riesgo
25,37,M,Basica,ISSEMYN,Informal,3567.46,52,Baja,Abono Hipoteca,891.87,Vivienda,En riesgo
25,37,M,Basica,ISSEMYN,Informal,3567.46,52,Baja,Pago de Agua,428.93,Servicios,En riesgo
25,37,M,Basica,ISSEMYN,Informal,3567.46,52,Baja,Analisis Laboratorio,430.27,Salud,En riesgo
26,60,M,Basica,ISSSTE,Autoempleo,9430.39,40,Baja,Abarrotes local,876.63,Alimentacion,En riesgo
26,60,M,Basica,ISSSTE,Autoempleo,9430.39,40,Baja,Mantenimiento hogar,2357.6,Vivienda,En riesgo
26,60,M,Basica,ISSSTE,Autoempleo,9430.39,40,Baja,Pago de Agua,438.03,Servicios,En riesgo
26,60,M,Basica,ISSSTE,Autoempleo,9430.39,40,Baja,Cervezas fin de semana,375.23,Ocio,En riesgo
27,54,M,Media Superior,ISSSTE,Informal,5342.99,42,Media,Tortilleria,567.81,Alimentacion,En riesgo
27,54,M,Media Superior,ISSSTE,Informal,5342.99,42,Media,Abono Hipoteca,1335.75,Vivienda,En riesgo
27,54,M,Media Superior,ISSSTE,Informal,5342.99,42,Media,Carga Gas LP,123.09,Servicios,En riesgo
27,54,M,Media Superior,ISSSTE,Informal,5342.99,42,Media,Cervezas fin de semana,103.5,Ocio,En riesgo
28,49,H,Media Superior,Ninguno,Formal,7826.86,26,Baja,Abarrotes local,853.88,Alimentacion,Finanzas sanas
28,49,H,Media Superior,Ninguno,Formal,7826.86,26,Baja,Mantenimiento hogar,1956.71,Vivienda,Finanzas sanas
28,49,H,Media Superior,Ninguno,Formal,7826.86,26,Baja,Recibo CFE,429.96,Servicios,Finanzas sanas
28,49,H,Media Superior,Ninguno,Formal,7826.86,26,Baja,Abono Coppel,1017.49,Otros,Finanzas sanas
29,27,H,Media Superior,Privado,Informal,5285.76,63,Baja,Abarrotes local,492.63,Alimentacion,En riesgo
29,27,H,Media Superior,Privado,Informal,5285.76,63,Baja,Pago de Renta,1321.44,Vivienda,En riesgo
29,27,H,Media Superior,Privado,Informal,5285.76,63,Baja,Recarga Telcel,346.12,Servicios,En riesgo
29,27,H,Media Superior,Privado,Informal,5285.76,63,Baja,Taxi de sitio,340.91,Transporte,En riesgo
30,72,H,Basica,Privado,Autoempleo,5630.95,46,Media,Abarrotes local,643.85,Alimentacion,En riesgo
30,72,H,Basica,Privado,Autoempleo,5630.95,46,Media,Abono Hipoteca,1407.74,Vivienda,En riesgo
30,72,H,Basica,Privado,Autoempleo,5630.95,46,Media,Pago de Agua,426.13,Servicios,En riesgo
30,72,H,Basica,Privado,Autoempleo,5630.95,46,Media,Taxi de sitio,352.19,Transporte,En riesgo
31,51,M,Media Superior,ISSEMYN,Informal,3156.62,69,Media,Despensa Walmart,313.0,Alimentacion,En riesgo
31,51,M,Media Superior,ISSEMYN,Informal,3156.62,69,Media,Mantenimiento hogar,789.15,Vivienda,En riesgo
31,51,M,Media Superior,ISSEMYN,Informal,3156.62,69,Media,Pago de Agua,183.32,Servicios,En riesgo
31,51,M,Media Superior,ISSEMYN,Informal,3156.62,69,Media,Ropa bazar,1089.03,Otros,En riesgo
32,46,H,Media Superior,IMSS,Formal,10162.81,52,Media,Despensa Walmart,1194.19,Alimentacion,En riesgo
32,46,H,Media Superior,IMSS,Formal,10162.81,52,Media,Abono Hipoteca,2540.7,Vivienda,En riesgo
32,46,H,Media Superior,IMSS,Formal,10162.81,52,Media,Recarga Telcel,443.34,Servicios,En riesgo
32,46,H,Media Superior,IMSS,Formal,10162.81,52,Media,Consulta medica,411.77,Salud,En riesgo
33,57,H,Media Superior,ISSSTE,Autoempleo,5990.11,45,Media,Abarrotes local,698.43,Alimentacion,En riesgo
33,57,H,Media Superior,ISSSTE,Autoempleo,5990.11,45,Media,Abono Hipoteca,1497.53,Vivienda,En riesgo
33,57,H,Media Superior,ISSSTE,Autoempleo,5990.11,45,Media,Pago de Agua,183.93,Servicios,En riesgo
33,57,H,Media Superior,ISSSTE,Autoempleo,5990.11,45,Media,Pago Elektra,1347.77,Otros,En riesgo
34,75,H,Basica,Ninguno,Informal,3508.52,63,Media,Despensa Walmart,322.95,Alimentacion,En riesgo
34,75,H,Basica,Ninguno,Informal,3508.52,63,Media,Abono Hipoteca,877.13,Vivienda,En riesgo
34,75,H,Basica,Ninguno,Informal,3508.52,63,Media,Carga Gas LP,334.97,Servicios,En riesgo
34,75,H,Basica,Ninguno,Informal,3508.52,63,Media,Taxi de sitio,385.3,Transporte,En riesgo
35,70,H,Basica,Privado,Formal,6884.47,53,Media,Tianguis semanal,730.1,Alimentacion,En riesgo
35,70,H,Basica,Privado,Formal,6884.47,53,Media,Pago de Renta,1721.12,Vivienda,En riesgo
35,70,H,Basica,Privado,Formal,6884.47,53,Media,Carga Gas LP,358.41,Servicios,En riesgo
35,70,H,Basica,Privado,Formal,6884.47,53,Media,Pago Elektra,1824.38,Otros,En riesgo
36,50,M,Media Superior,ISSSTE,Formal,9187.53,41,Media,Despensa Walmart,853.58,Alimentacion,En riesgo
36,50,M,Media Superior,ISSSTE,Formal,9187.53,41,Media,Pago de Renta,2296.88,Vivienda,En riesgo
36,50,M,Media Superior,ISSSTE,Formal,9187.53,41,Media,Pago de Agua,192.82,Servicios,En riesgo
36,50,M,Media Superior,ISSSTE,Formal,9187.53,41,Media,Abono Coppel,1883.44,Otros,En riesgo
37,44,H,Media Superior,IMSS,Formal,6405.64,46,Media,Tianguis semanal,630.46,Alimentacion,En riesgo
37,44,H,Media Superior,IMSS,Formal,6405.64,46,Media,Mantenimiento hogar,1601.41,Vivienda,En riesgo
37,44,H,Media Superior,IMSS,Formal,6405.64,46,Media,Carga Gas LP,314.05,Servicios,En riesgo
37,44,H,Media Superior,IMSS,Formal,6405.64,46,Media,Ropa bazar,1473.3,Otros,En riesgo
38,27,M,Media Superior,ISSEMYN,Autoempleo,8984.62,39,Media,Tortilleria,849.58,Alimentacion,En observacion
38,27,M,Media Superior,ISSEMYN,Autoempleo,8984.62,39,Media,Mantenimiento hogar,2246.16,Vivienda,En observacion
38,27,M,Media Superior,ISSEMYN,Autoempleo,8984.62,39,Media,Pago de Agua,355.2,Servicios,En observacion
38,27,M,Media Superior,ISSEMYN,Autoempleo,8984.62,39,Media,Taxi de sitio,157.41,Transporte,En observacion
39,34,H,Media Superior,IMSS,Autoempleo,8535.77,33,Baja,Despensa Walmart,820.12,Alimentacion,En observacion
39,34,H,Media Superior,IMSS,Autoempleo,8535.77,33,Baja,Abono Hipoteca,2133.94,Vivienda,En observacion
39,34,H,Media Superior,IMSS,Autoempleo,8535.77,33,Baja,Pago de Agua,386.94,Servicios,En observacion
39,34,H,Media Superior,IMSS,Autoempleo,8535.77,33,Baja,Cervezas fin de semana,376.23,Ocio,En observacion
40,57,H,Media Superior,ISSSTE,Autoempleo,8422.75,22,Alta,Tortilleria,868.13,Alimentacion,Finanzas sanas
40,57,H,Media Superior,ISSSTE,Autoempleo,8422.75,22,Alta,Abono Hipoteca,2105.69,Vivienda,Finanzas sanas
40,57,H,Media Superior,ISSSTE,Autoempleo,8422.75,22,Alta,Pago de Agua,140.74,Servicios,Finanzas sanas
40,57,H,Media Superior,ISSSTE,Autoempleo,8422.75,22,Alta,Suscripcion Netflix,205.74,Ocio,Finanzas sanas
41,26,M,Superior,Ninguno,Formal,23192.7,9,Media,Despensa Walmart,2375.68,Alimentacion,Finanzas sanas
41,26,M,Superior,Ninguno,Formal,23192.7,9,Media,Mantenimiento hogar,5798.18,Vivienda,Finanzas sanas
41,26,M,Superior,Ninguno,Formal,23192.7,9,Media,Recibo CFE,350.05,Servicios,Finanzas sanas
41,26,M,Superior,Ninguno,Formal,23192.7,9,Media,Pago Elektra,1043.67,Otros,Finanzas sanas
42,31,H,Basica,ISSEMYN,Formal,5641.81,44,Media,Abarrotes local,545.03,Alimentacion,En riesgo
42,31,H,Basica,ISSEMYN,Formal,5641.81,44,Media,Pago de Renta,1410.45,Vivienda,En riesgo
42,31,H,Basica,ISSEMYN,Formal,5641.81,44,Media,Carga Gas LP,375.14,Servicios,En riesgo
42,31,H,Basica,ISSEMYN,Formal,5641.81,44,Media,Analisis Laboratorio,392.52,Salud,En riesgo
43,55,H,Basica,Privado,Formal,5835.9,52,Baja,Despensa Walmart,674.08,Alimentacion,En riesgo
43,55,H,Basica,Privado,Formal,5835.9,52,Baja,Mantenimiento hogar,1458.97,Vivienda,En riesgo
43,55,H,Basica,Privado,Formal,5835.9,52,Baja,Pago de Agua,441.1,Servicios,En riesgo
43,55,H,Basica,Privado,Formal,5835.9,52,Baja,Gasolina Magna,217.85,Transporte,En riesgo
44,71,H,Media Superior,IMSS,Informal,3735.07,39,Media,Tortilleria,387.51,Alimentacion,En observacion
44,71,H,Media Superior,IMSS,Informal,3735.07,39,Media,Pago de Renta,933.77,Vivienda,En observacion
44,71,H,Media Superior,IMSS,Informal,3735.07,39,Media,Carga Gas LP,226.19,Servicios,En observacion
44,71,H,Media Superior,IMSS,Informal,3735.07,39,Media,Gasolina Magna,355.88,Transporte,En observacion
45,72,H,Media Superior,Ninguno,Formal,8744.97,44,Baja,Abarrotes local,955.18,Alimentacion,En riesgo
45,72,H,Media Superior,Ninguno,Formal,8744.97,44,Baja,Abono Hipoteca,2186.24,Vivienda,En riesgo
45,72,H,Media Superior,Ninguno,Formal,8744.97,44,Baja,Recarga Telcel,221.79,Servicios,En riesgo
45,72,H,Media Superior,Ninguno,Formal,8744.97,44,Baja,Cine,344.44,Ocio,En riesgo
46,33,M,Superior,Ninguno,Formal,13042.73,27,Media,Tortilleria,1234.45,Alimentacion,Finanzas sanas
46,33,M,Superior,Ninguno,Formal,13042.73,27,Media,Mantenimiento hogar,3260.68,Vivienda,Finanzas sanas
46,33,M,Superior,Ninguno,Formal,13042.73,27,Media,Recibo CFE,345.1,Servicios,Finanzas sanas
46,33,M,Superior,Ninguno,Formal,13042.73,27,Media,Cervezas fin de semana,377.31,Ocio,Finanzas sanas
47,45,M,Superior,ISSSTE,Autoempleo,7170.8,32,Baja,Tortilleria,641.14,Alimentacion,En observacion
47,45,M,Superior,ISSSTE,Autoempleo,7170.8,32,Baja,Pago de Renta,1792.7,Vivienda,En observacion
47,45,M,Superior,ISSSTE,Autoempleo,7170.8,32,Baja,Recarga Telcel,161.64,Servicios,En observacion
47,45,M,Superior,ISSSTE,Autoempleo,7170.8,32,Baja,Analisis Laboratorio,174.0,Salud,En observacion
48,73,H,Basica,Ninguno,Formal,8701.21,38,Baja,Abarrotes local,924.47,Alimentacion,En riesgo
48,73,H,Basica,Ninguno,Formal,8701.21,38,Baja,Mantenimiento hogar,2175.3,Vivienda,En riesgo
48,73,H,Basica,Ninguno,Formal,8701.21,38,Baja,Carga Gas LP,165.05,Servicios,En riesgo
48,73,H,Basica,Ninguno,Formal,8701.21,38,Baja,Gasolina Magna,307.17,Transporte,En riesgo
49,67,M,Basica,ISSEMYN,Formal,7714.47,46,Media,Tianguis semanal,772.72,Alimentacion,En riesgo
49,67,M,Basica,ISSEMYN,Formal,7714.47,46,Media,Abono Hipoteca,1928.62,Vivienda,En riesgo
49,67,M,Basica,ISSEMYN,Formal,7714.47,46,Media,Recibo CFE,444.34,Servicios,En riesgo
49,67,M,Basica,ISSEMYN,Formal,7714.47,46,Media,Cine,279.64,Ocio,En riesgo
50,61,H,Basica,Ninguno,Formal,6675.63,44,Baja,Tortilleria,550.03,Alimentacion,En riesgo
50,61,H,Basica,Ninguno,Formal,6675.63,44,Baja,Mantenimiento hogar,1668.91,Vivienda,En riesgo
50,61,H,Basica,Ninguno,Formal,6675.63,44,Baja,Recarga Telcel,249.1,Servicios,En riesgo
50,61,H,Basica,Ninguno,Formal,6675.63,44,Baja,Abono Coppel,1468.64,Otros,En riesgo
51,41,M,Media Superior,ISSEMYN,Formal,6379.57,41,Media,Tortilleria,736.87,Alimentacion,En riesgo
51,41,M,Media Superior,ISSEMYN,Formal,6379.57,41,Media,Pago de Renta,1594.89,Vivienda,En riesgo
51,41,M,Media Superior,ISSEMYN,Formal,6379.57,41,Media,Recarga Telcel,329.33,Servicios,En riesgo
51,41,M,Media Superior,ISSEMYN,Formal,6379.57,41,Media,Suscripcion Netflix,281.99,Ocio,En riesgo
52,52,H,Media Superior,IMSS,Autoempleo,9095.92,45,Baja,Tortilleria,1001.56,Alimentacion,En riesgo
52,52,H,Media Superior,IMSS,Autoempleo,9095.92,45,Baja,Mantenimiento hogar,2273.98,Vivienda,En riesgo
52,52,H,Media Superior,IMSS,Autoempleo,9095.92,45,Baja,Carga Gas LP,182.43,Servicios,En riesgo
52,52,H,Media Superior,IMSS,Autoempleo,9095.92,45,Baja,Pasajes Combi/Bus,385.17,Transporte,En riesgo
53,29,H,Media Superior,Ninguno,Autoempleo,10429.04,45,Media,Tianguis semanal,1114.21,Alimentacion,En riesgo
53,29,H,Media Superior,Ninguno,Autoempleo,10429.04,45,Media,Abono Hipoteca,2607.26,Vivienda,En riesgo
53,29,H,Media Superior,Ninguno,Autoempleo,10429.04,45,Media,Recarga Telcel,341.58,Servicios,En riesgo
53,29,H,Media Superior,Ninguno,Autoempleo,10429.04,45,Media,Gasolina Magna,107.84,Transporte,En riesgo
54,63,M,Sin estudios,IMSS,Formal,10251.69,43,Baja,Tortilleria,1016.52,Alimentacion,En riesgo
54,63,M,Sin estudios,IMSS,Formal,10251.69,43,Baja,Mantenimiento hogar,2562.92,Vivienda,En riesgo
54,63,M,Sin estudios,IMSS,Formal,10251.69,43,Baja,Carga Gas LP,171.4,Servicios,En riesgo
54,63,M,Sin estudios,IMSS,Formal,10251.69,43,Baja,Taxi de sitio,167.8,Transporte,En riesgo
55,60,M,Superior,IMSS,Formal,22876.98,33,Media,Tortilleria,2081.99,Alimentacion,En observacion
55,60,M,Superior,IMSS,Formal,22876.98,33,Media,Abono Hipoteca,5719.24,Vivienda,En observacion
55,60,M,Superior,IMSS,Formal,22876.98,33,Media,Carga Gas LP,201.92,Servicios,En observacion
55,60,M,Superior,IMSS,Formal,22876.98,33,Media,Consulta medica,214.24,Salud,En observacion
56,67,H,Media Superior,Privado,Formal,7652.09,54,Media,Abarrotes local,709.55,Alimentacion,En riesgo
56,67,H,Media Superior,Privado,Formal,7652.09,54,Media,Pago de Renta,1913.02,Vivienda,En riesgo
56,67,H,Media Superior,Privado,Formal,7652.09,54,Media,Recibo CFE,342.79,Servicios,En riesgo
56,67,H,Media Superior,Privado,Formal,7652.09,54,Media,Pasajes Combi/Bus,392.0,Transporte,En riesgo
57,64,M,Media Superior,Ninguno,Formal,6176.29,48,Media,Abarrotes local,645.5,Alimentacion,En riesgo
57,64,M,Media Superior,Ninguno,Formal,6176.29,48,Media,Mantenimiento hogar,1544.07,Vivienda,En riesgo
57,64,M,Media Superior,Ninguno,Formal,6176.29,48,Media,Pago de Agua,394.47,Servicios,En riesgo
57,64,M,Media Superior,Ninguno,Formal,6176.29,48,Media,Suscripcion Netflix,259.66,Ocio,En riesgo
58,22,M,Media Superior,ISSEMYN,Autoempleo,8012.93,53,Media,Tortilleria,888.83,Alimentacion,En riesgo
58,22,M,Media Superior,ISSEMYN,Autoempleo,8012.93,53,Media,Mantenimiento hogar,2003.23,Vivienda,En riesgo
58,22,M,Media Superior,ISSEMYN,Autoempleo,8012.93,53,Media,Pago de Agua,173.93,Servicios,En riesgo
58,22,M,Media Superior,ISSEMYN,Autoempleo,8012.93,53,Media,Pago Elektra,2123.43,Otros,En riesgo
59,47,H,Basica,ISSSTE,Informal,3830.9,69,Media,Tianguis semanal,453.63,Alimentacion,En riesgo
59,47,H,Basica,ISSSTE,Informal,3830.9,69,Media,Abono Hipoteca,957.73,Vivienda,En riesgo
59,47,H,Basica,ISSSTE,Informal,3830.9,69,Media,Recarga Telcel,347.48,Servicios,En riesgo
59,47,H,Basica,ISSSTE,Informal,3830.9,69,Media,Farmacia Similares,385.99,Salud,En riesgo
60,56,H,Basica,ISSEMYN,Formal,7508.67,55,Media,Tortilleria,625.14,Alimentacion,En riesgo
60,56,H,Basica,ISSEMYN,Formal,7508.67,55,Media,Mantenimiento hogar,1877.17,Vivienda,En riesgo
60,56,H,Basica,ISSEMYN,Formal,7508.67,55,Media,Recibo CFE,159.32,Servicios,En riesgo
